Ticker,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17
DOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBM,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
CRM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MSFT,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1
CVX,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
KO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CSCO,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
HD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JNJ,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AXP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPL,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1
MRK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PG,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
CAT,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
HON,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
